trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
61,False,"{'a': 0.5, 'e': 0.736559652908221}",25,0,-73.1387012604975,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 2}",0
62,False,"{'a': 0.5, 'e': 0.7328768546436799}",25,0,-11.191713441681694,"{0: 20, 1: 3, 2: 2, 3: 0, 4: 0}",0
63,False,"{'a': 0.5, 'e': 0.7292124703704616}",20,8,-14.234981136533337,"{0: 10, 1: 0, 2: 1, 3: 1, 4: 0}",1
64,False,"{'a': 0.5, 'e': 0.7255664080186093}",20,0,-120.6617729247168,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
65,False,"{'a': 0.5, 'e': 0.7219385759785162}",20,0,-58.79179354228998,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
66,False,"{'a': 0.5, 'e': 0.7183288830986236}",20,0,3.714378117943874,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
67,False,"{'a': 0.5, 'e': 0.7147372386831305}",20,0,-124.04868990373276,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
68,False,"{'a': 0.5, 'e': 0.7111635524897149}",25,0,-47.6777404548789,"{0: 20, 1: 3, 2: 1, 3: 0, 4: 1}",0
69,False,"{'a': 0.5, 'e': 0.7076077347272662}",30,7,-13.23581461986147,"{0: 17, 1: 4, 2: 2, 3: 0, 4: 0}",1
70,False,"{'a': 0.5, 'e': 0.7040696960536299}",30,19,-0.09928144679674933,"{0: 8, 1: 3, 2: 0, 3: 0, 4: 0}",1
71,False,"{'a': 0.5, 'e': 0.7005493475733617}",20,6,-82.33234494608043,"{0: 9, 1: 2, 2: 1, 3: 0, 4: 2}",1
72,False,"{'a': 0.5, 'e': 0.697046600835495}",25,5,-31.78302367866769,"{0: 14, 1: 4, 2: 1, 3: 1, 4: 0}",1
73,False,"{'a': 0.5, 'e': 0.6935613678313175}",20,10,-24.23371192843482,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
74,False,"{'a': 0.5, 'e': 0.6900935609921609}",25,0,-92.96194116436538,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 2}",0
75,False,"{'a': 0.5, 'e': 0.6866430931872001}",30,0,-83.98921922016518,"{0: 21, 1: 2, 2: 6, 3: 0, 4: 1}",0
76,False,"{'a': 0.5, 'e': 0.6832098777212641}",20,4,0.7727480632629466,"{0: 13, 1: 3, 2: 0, 3: 0, 4: 0}",1
77,False,"{'a': 0.5, 'e': 0.6797938283326578}",30,0,-50.111362673946736,"{0: 22, 1: 3, 2: 4, 3: 1, 4: 0}",0
78,False,"{'a': 0.5, 'e': 0.6763948591909945}",25,0,-237.38674753632995,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 5}",0
79,False,"{'a': 0.5, 'e': 0.6730128848950395}",20,16,7.1734118455028515,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
80,False,"{'a': 0.5, 'e': 0.6696478204705644}",25,0,-45.96863249771272,"{0: 20, 1: 2, 2: 2, 3: 0, 4: 1}",0
81,False,"{'a': 0.5, 'e': 0.6662995813682115}",25,0,-88.73876192335187,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
82,False,"{'a': 0.5, 'e': 0.6629680834613705}",25,0,-53.462099748449305,"{0: 19, 1: 2, 2: 1, 3: 3, 4: 0}",1
83,False,"{'a': 0.5, 'e': 0.6596532430440636}",25,0,-84.14189224033545,"{0: 17, 1: 1, 2: 6, 3: 0, 4: 1}",0
84,False,"{'a': 0.5, 'e': 0.6563549768288433}",30,0,-99.45671952365763,"{0: 24, 1: 0, 2: 3, 3: 1, 4: 2}",0
85,False,"{'a': 0.5, 'e': 0.653073201944699}",25,16,-9.732363496984176,"{0: 6, 1: 2, 2: 1, 3: 0, 4: 0}",1
86,False,"{'a': 0.5, 'e': 0.6498078359349755}",20,0,-95.2849387530168,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
87,False,"{'a': 0.5, 'e': 0.6465587967553006}",20,6,-6.960572242586198,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 0}",1
88,False,"{'a': 0.5, 'e': 0.6433260027715241}",25,0,-33.918532991435825,"{0: 18, 1: 2, 2: 5, 3: 0, 4: 0}",0
89,False,"{'a': 0.5, 'e': 0.6401093727576664}",20,14,-37.20440759885844,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 1}",1
90,False,"{'a': 0.5, 'e': 0.6369088258938781}",30,0,-139.41395411800596,"{0: 20, 1: 2, 2: 5, 3: 1, 4: 2}",0
91,False,"{'a': 0.5, 'e': 0.6337242817644086}",20,0,-74.75354794085095,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
92,False,"{'a': 0.5, 'e': 0.6305556603555866}",20,0,-93.48521943356513,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
93,False,"{'a': 0.5, 'e': 0.6274028820538087}",25,6,-111.22970013798331,"{0: 13, 1: 0, 2: 3, 3: 1, 4: 2}",1
94,False,"{'a': 0.5, 'e': 0.6242658676435396}",20,1,-102.44798444958415,"{0: 10, 1: 2, 2: 5, 3: 1, 4: 1}",1
95,False,"{'a': 0.5, 'e': 0.6211445383053219}",25,3,21.278449984723583,"{0: 20, 1: 1, 2: 1, 3: 0, 4: 0}",1
96,False,"{'a': 0.5, 'e': 0.6180388156137953}",25,0,-100.56092129814674,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 2}",0
97,False,"{'a': 0.5, 'e': 0.6149486215357263}",30,0,-101.49697458401836,"{0: 22, 1: 2, 2: 4, 3: 0, 4: 2}",0
98,False,"{'a': 0.5, 'e': 0.6118738784280476}",30,0,-45.35375026158003,"{0: 22, 1: 2, 2: 5, 3: 1, 4: 0}",0
99,False,"{'a': 0.5, 'e': 0.6088145090359074}",20,5,4.444381687473442,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
100,False,"{'a': 0.5, 'e': 0.6057704364907278}",25,0,-92.800681165491,"{0: 17, 1: 4, 2: 2, 3: 0, 4: 2}",1
101,False,"{'a': 0.5, 'e': 0.6027415843082742}",25,11,-2.528466738508993,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
102,False,"{'a': 0.5, 'e': 0.5997278763867329}",25,13,7.372388424404569,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
103,False,"{'a': 0.5, 'e': 0.5967292370047992}",20,0,-112.72364743812685,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
104,False,"{'a': 0.5, 'e': 0.5937455908197752}",20,15,-1.228861881097376,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
105,False,"{'a': 0.5, 'e': 0.5907768628656763}",35,19,-18.243652059829333,"{0: 12, 1: 0, 2: 4, 3: 0, 4: 0}",1
106,False,"{'a': 0.5, 'e': 0.5878229785513479}",25,0,-39.949413892731314,"{0: 21, 1: 2, 2: 1, 3: 0, 4: 1}",0
107,False,"{'a': 0.5, 'e': 0.5848838636585911}",30,0,-96.1442082011874,"{0: 23, 1: 0, 2: 5, 3: 0, 4: 2}",0
108,False,"{'a': 0.5, 'e': 0.5819594443402982}",25,0,13.649216027509414,"{0: 22, 1: 2, 2: 1, 3: 0, 4: 0}",0
109,False,"{'a': 0.5, 'e': 0.5790496471185967}",20,10,-28.916601395469176,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 1}",1
110,False,"{'a': 0.5, 'e': 0.5761543988830038}",20,11,-56.471825567427,"{0: 5, 1: 1, 2: 2, 3: 0, 4: 1}",1
